round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
29,1920,2020-06-01,1,Köln,1,2,4,3.4,RB Leipzig,0,RheinEnergieSTADION,Christian Dingert
24,1920,2020-06-03,1,Werder Bremen,0.5,0,3,1.5,Eint Frankfurt,0,Weserstadion,Patrick Ittrich
30,1920,2020-06-05,1,Freiburg,1.1,1,0,2.4,M'Gladbach,0,Schwarzwald-Stadion,Markus Schmidt
30,1920,2020-06-06,1,Leverkusen,0.9,2,4,2.6,Bayern Munich,0,BayArena,Manuel Gräfe
30,1920,2020-06-06,1,Düsseldorf,2.2,2,2,0.9,Hoffenheim,0,Merkur Spielarena,Sören Storks
30,1920,2020-06-06,1,RB Leipzig,2.1,1,1,1.4,Paderborn 07,0,Red Bull Arena,Deniz Aytekin
30,1920,2020-06-06,1,Eint Frankfurt,0.4,0,2,2,Mainz 05,0,Commerzbank-Arena,Felix Brych
30,1920,2020-06-06,1,Dortmund,1.8,1,0,0.4,Hertha BSC,0,Signal Iduna Park,Harm Osmers
30,1920,2020-06-07,1,Werder Bremen,0.7,0,1,1.7,Wolfsburg,0,Weserstadion,Bibiana Steinhaus
30,1920,2020-06-07,1,Union Berlin,1.6,1,1,0.2,Schalke 04,0,Stadion An der Alten Försterei,Tobias Stieler
30,1920,2020-06-07,1,Augsburg,2.1,1,1,1,Köln,0,WWK Arena,Benjamin Cortus
31,1920,2020-06-12,1,Hoffenheim,1.8,0,2,1.6,RB Leipzig,0,PreZero Arena,Tobias Welz
31,1920,2020-06-13,1,Düsseldorf,0.5,0,1,0.6,Dortmund,0,Merkur Spielarena,Sascha Stegemann
31,1920,2020-06-13,1,Paderborn 07,1.7,1,5,2.6,Werder Bremen,0,Benteler-Arena,Christian Dingert
31,1920,2020-06-13,1,Wolfsburg,2.4,2,2,2.2,Freiburg,0,Volkswagen Arena,Bastian Dankert
31,1920,2020-06-13,1,Köln,1.1,1,2,1.1,Union Berlin,0,RheinEnergieSTADION,Martin Petersen
31,1920,2020-06-13,1,Hertha BSC,0.9,1,4,2.5,Eint Frankfurt,0,Olympiastadion Berlin,Robert Hartmann
31,1920,2020-06-13,1,Bayern Munich,1.5,2,1,0.7,M'Gladbach,0,Allianz Arena,Felix Zwayer
31,1920,2020-06-14,1,Mainz 05,1.7,0,1,0.9,Augsburg,0,Opel Arena,Marco Fritz
31,1920,2020-06-14,1,Schalke 04,1.3,1,1,1.2,Leverkusen,0,Veltins-Arena,Daniel Siebert
32,1920,2020-06-16,1,M'Gladbach,1.7,3,0,0.4,Wolfsburg,0,Stadion im Borussia-Park,Robert Schröder
32,1920,2020-06-16,1,Werder Bremen,0.5,0,1,1.1,Bayern Munich,0,Weserstadion,Harm Osmers
32,1920,2020-06-16,1,Union Berlin,1.7,1,0,0.8,Paderborn 07,0,Stadion An der Alten Försterei,Bibiana Steinhaus
32,1920,2020-06-16,1,Freiburg,1.9,2,1,1.8,Hertha BSC,0,Schwarzwald-Stadion,Tobias Stieler
32,1920,2020-06-17,1,Eint Frankfurt,2.5,2,1,0.8,Schalke 04,0,Commerzbank-Arena,Guido Winkmann
32,1920,2020-06-17,1,RB Leipzig,1.2,2,2,1,Düsseldorf,0,Red Bull Arena,Manuel Gräfe
32,1920,2020-06-17,1,Leverkusen,2.3,3,1,0.6,Köln,0,BayArena,Sven Jablonski
32,1920,2020-06-17,1,Augsburg,0.5,1,3,1.6,Hoffenheim,0,WWK Arena,Deniz Aytekin
32,1920,2020-06-17,1,Dortmund,1.1,0,2,1.8,Mainz 05,0,Signal Iduna Park,Frank Willenborg
33,1920,2020-06-20,1,Schalke 04,0.9,1,4,2.1,Wolfsburg,0,Veltins-Arena,Sascha Stegemann
33,1920,2020-06-20,1,Hertha BSC,1.9,2,0,1.4,Leverkusen,0,Olympiastadion Berlin,Felix Brych
33,1920,2020-06-20,1,Mainz 05,1.9,3,1,2,Werder Bremen,0,Opel Arena,Manuel Gräfe
33,1920,2020-06-20,1,RB Leipzig,0.9,0,2,3.1,Dortmund,0,Red Bull Arena,Felix Zwayer
33,1920,2020-06-20,1,Paderborn 07,0.6,1,3,4,M'Gladbach,0,Benteler-Arena,Tobias Welz
