Match,Competition,Date,Aerial Duels,Duels Won,Conceded goals,xCG,Shots against,Total Saves,Reflex Saves,Total Exits,Accurate Exits,Claims,Punches,Total Passes to GK,Accurate Passes,Ball distributions
Borussia Dortmund - Mainz 05 2:0,Germany. Bundesliga,2016-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Borussia Dortmund - Bayern München 0:0,Germany. Bundesliga,2016-03-05,0,0,0,0.65,4,4,2,1,0,0,1,0,0,15
Borussia Dortmund - Hoffenheim 3:1,Germany. Bundesliga,2016-02-28,0,0,1,1.29,4,3,2,2,0,1,1,0,0,4
Porto - Borussia Dortmund 0:1,Europe. UEFA Europa League,2016-02-25,0,0,0,1.18,3,3,3,2,0,2,0,0,0,12
Bayer Leverkusen - Borussia Dortmund 0:1,Germany. Bundesliga,2016-02-21,1,1,0,0.85,4,4,1,2,0,1,0,0,0,9
Borussia Dortmund - Porto 2:0,Europe. UEFA Europa League,2016-02-18,0,0,0,0.21,2,2,1,1,0,0,0,0,0,3
Borussia Dortmund - Hannover 96 1:0,Germany. Bundesliga,2016-02-13,1,1,0,0.45,1,1,1,2,0,1,1,0,0,3
Stuttgart - Borussia Dortmund 1:3,Germany. DFB Pokal,2016-02-09,1,1,1,1.41,7,6,2,2,0,1,0,0,0,8
Hertha BSC - Borussia Dortmund 0:0,Germany. Bundesliga,2016-02-06,2,2,0,1.33,4,4,0,3,0,1,2,0,0,3
Borussia Dortmund - Ingolstadt 2:0,Germany. Bundesliga,2016-01-30,0,0,0,0.31,4,4,0,0,0,0,0,0,0,10
Borussia M'gladbach - Borussia Dortmund 1:3,Germany. Bundesliga,2016-01-23,0,0,1,0.82,3,2,1,0,0,0,0,0,0,6
Köln - Borussia Dortmund 2:1,Germany. Bundesliga,2015-12-19,0,0,2,1.95,6,4,1,2,0,2,0,0,0,9
Augsburg - Borussia Dortmund 0:2,Germany. DFB Pokal,2015-12-16,0,0,0,0.64,3,3,2,1,0,1,0,0,0,6
Borussia Dortmund - Eintracht Frankfurt 4:1,Germany. Bundesliga,2015-12-13,0,0,1,0.3,2,1,0,1,0,1,0,0,0,3
Wolfsburg - Borussia Dortmund 1:2,Germany. Bundesliga,2015-12-05,0,0,1,1.95,7,6,3,2,0,1,0,1,1,12
Borussia Dortmund - Stuttgart 4:1,Germany. Bundesliga,2015-11-29,1,1,1,1.13,3,2,2,3,0,2,0,0,0,3
Hamburger SV - Borussia Dortmund 3:1,Germany. Bundesliga,2015-11-20,0,0,3,1.63,3,0,0,0,0,0,0,0,0,2
Slovakia - Switzerland 3:2,World. Friendlies,2015-11-13,0,0,3,2.11,3,0,0,2,0,2,0,0,0,1
Werder Bremen - Borussia Dortmund 1:3,Germany. Bundesliga,2015-10-31,2,2,1,0.51,1,0,0,2,0,1,1,0,0,1
Borussia Dortmund - Paderborn 7:1,Germany. DFB Pokal,2015-10-28,0,0,1,1.1,4,3,1,0,0,0,0,0,0,4
Borussia Dortmund - Augsburg 5:1,Germany. Bundesliga,2015-10-25,0,0,1,0.42,3,2,1,2,0,2,0,0,0,1
Mainz 05 - Borussia Dortmund 0:2,Germany. Bundesliga,2015-10-16,0,0,0,1.33,5,5,2,3,0,3,0,0,0,6
Switzerland - San Marino 7:0,Europe. EC Qualification,2015-10-09,0,0,0,0.01,1,1,0,0,0,0,0,0,0,0
Bayern München - Borussia Dortmund 5:1,Germany. Bundesliga,2015-10-04,0,0,5,3.74,9,4,1,3,0,1,1,0,0,11
Borussia Dortmund - Darmstadt 98 2:2,Germany. Bundesliga,2015-09-27,1,1,2,1.42,4,2,1,1,0,1,0,0,0,2
Hoffenheim - Borussia Dortmund 1:1,Germany. Bundesliga,2015-09-23,1,1,1,1.56,5,4,1,2,0,2,0,0,0,6
Borussia Dortmund - Bayer Leverkusen 3:0,Germany. Bundesliga,2015-09-20,0,0,0,0.82,4,4,1,0,0,0,0,0,0,7
Hannover 96 - Borussia Dortmund 2:4,Germany. Bundesliga,2015-09-12,2,2,2,1.6,3,1,1,4,0,1,2,0,0,6
Borussia Dortmund - Hertha BSC 3:1,Germany. Bundesliga,2015-08-30,0,0,1,0.99,4,3,3,0,0,0,0,0,0,6
Ingolstadt - Borussia Dortmund 0:4,Germany. Bundesliga,2015-08-23,0,0,0,0.06,2,2,0,2,0,1,0,0,0,5
Borussia Dortmund - Borussia M'gladbach 4:0,Germany. Bundesliga,2015-08-15,1,1,0,0.04,1,1,0,2,0,0,2,0,0,2
Chemnitzer FC - Borussia Dortmund 0:2,Germany. DFB Pokal,2015-08-09,0,0,0,0.35,2,2,0,1,0,0,0,0,0,8
Wolfsberger AC - Borussia Dortmund 0:1,Europe. UEFA Europa League,2015-07-30,2,2,0,0.57,3,3,1,3,0,0,1,0,0,7
