player_id,player,position,team,league,age,year_of_birth,mins_90s,touches,touches_def_pen,touches_def_third,touches_mid_third,touches_att_third,touches_att_pen,touches_live,touches_success,dribbles_att,dribbles_percent,dribbles_player_count,dribbles_megs,dribbles_carries,carries_total_dist,carries_prog_dist,pass_targets,pass_receptions,pass_reception_percent,miscontrols,dispossessed
10342,Farid Boulaya,FW,Metz,Ligue 1,26,1993,9.1,540,6,74,261,246,26,502,14,27,51.9,16,0,389,2886,1554,470,364,77.4,20,19
10343,Yassine Bounou,GK,Sevilla,La Liga,28,1991,5.5,185,178,185,0,0,0,128,0,0,,0,0,84,314,101,73,73,100,0,0
10344,Mehdi Bourabia,MF,Sassuolo,Serie A,27,1991,10.3,889,44,208,596,144,1,862,12,14,85.7,13,1,637,3082,1789,675,637,94.4,8,23
10345,Benjamin Bourigeaud,MF,Rennes,Ligue 1,25,1994,21.1,1441,42,292,822,392,18,1304,15,22,68.2,17,0,915,4115,2149,1035,916,88.5,23,10
10346,Bilal Boutobba,MFDF,Montpellier,Ligue 1,20,1998,0.1,6,0,0,2,4,0,6,1,1,100,1,0,7,58,39,7,6,85.7,0,0
10347,Jarrod Bowen,FW,West Ham,Premier League,22,1996,10.2,421,8,77,161,234,52,393,16,33,48.5,17,3,313,3056,1632,352,259,73.6,17,22
10348,Dedryck Boyata,DF,Hertha BSC,Bundesliga,28,1990,27.1,1684,253,1058,706,48,28,1664,12,12,100,12,0,1080,6076,3263,1143,1124,98.3,8,3
10349,John Boye,DF,Metz,Ligue 1,32,1987,23.5,1168,181,775,439,13,8,1147,6,7,85.7,6,0,659,2900,1053,674,655,97.2,3,3
10350,Can Bozdogan,MF,Schalke 04,Bundesliga,18,2001,2.6,103,0,23,55,42,0,102,10,15,66.7,11,0,88,745,461,77,64,83.1,4,7
10351,Domagoj Bradarić,DF,Lille,Ligue 1,19,1999,15.8,1000,39,207,530,340,7,827,9,17,52.9,11,1,578,3563,2237,640,581,90.8,20,7
10352,Filip Bradarić,MF,Celta Vigo,La Liga,27,1992,7.8,485,21,121,308,73,7,475,4,5,80,5,0,268,1288,604,336,321,95.5,3,6
10353,Robbie Brady,MF,Burnley,Premier League,27,1992,5,249,13,47,102,118,15,238,4,10,40,5,0,148,847,404,186,149,80.1,12,9
10354,Martin Braithwaite,FWMF,Barcelona,La Liga,28,1991,4.5,170,2,19,65,94,24,168,5,8,62.5,5,0,123,714,408,193,142,73.6,4,7
10355,Martin Braithwaite,FWMF,Leganés,La Liga,28,1991,21.5,607,9,58,298,288,75,602,32,52,61.5,35,3,405,2530,1271,775,442,57,47,27
10356,Federico Brancolini,GK,Fiorentina,Serie A,18,2001,0.1,3,3,3,0,0,0,2,0,0,,0,0,1,0,0,1,1,100,0,0
10357,Brandon,FW,Osasuna,La Liga,24,1995,4.5,174,1,21,85,82,15,166,3,8,37.5,3,0,122,858,496,222,123,55.4,13,9
10358,Julian Brandt,MFFW,Dortmund,Bundesliga,23,1996,24.5,1987,15,287,1125,710,83,1949,63,90,70,67,1,1509,8436,3705,1855,1621,87.4,64,48
10359,Jarrad Branthwaite,DF,Everton,Premier League,17,2002,3.3,243,46,139,117,2,0,238,0,0,,0,0,170,872,444,183,182,99.5,1,0
10360,Darko Brašanac,MF,Osasuna,La Liga,27,1992,24.9,976,38,168,566,298,59,968,12,22,54.5,12,0,559,2933,1410,866,604,69.7,27,30
10361,Claudio Bravo,GK,Manchester City,Premier League,36,1983,3.9,137,116,136,1,0,0,101,1,1,100,1,0,76,283,146,77,76,98.7,0,0
