player,position,league,squad,age
Patrick van Aanholt,DF,Premier League,Crystal Palace,30
Tammy Abraham,FW,Premier League,Chelsea,23
Che Adams,FW,Premier League,Southampton,24
Tosin Adarabioyo,DF,Premier League,Fulham,23
Adrián,GK,Premier League,Liverpool,34
Sergio Agüero,FW,Premier League,Manchester City,32
Ola Aina,DF,Premier League,Fulham,24
Rayan Aït Nouri,DF,Premier League,Wolves,19
Semi Ajayi,DF,Premier League,West Brom,27
Nathan Aké,DF,Premier League,Manchester City,26
Marc Albrighton,FW,Premier League,Leicester City,31
Thiago Alcántara,MF,Premier League,Liverpool,29
Toby Alderweireld,DF,Premier League,Tottenham,32
Rúnar Alex Rúnarsson,GK,Premier League,Arsenal,26
Trent Alexander-Arnold,DF,Premier League,Liverpool,22
Ezgjan Alioski,DF,Premier League,Leeds United,29
Alisson,GK,Premier League,Liverpool,28
Allan,MF,Premier League,Everton,30
Dele Alli,MF,Premier League,Tottenham,24
Miguel Almirón,MF,Premier League,Newcastle Utd,27
Marcos Alonso,DF,Premier League,Chelsea,30
Steven Alzate,MF,Premier League,Brighton,22
Daniel Amartey,DF,Premier League,Leicester City,26
Ethan Ampadu,DF,Premier League,Sheffield Utd,20
Joachim Andersen,DF,Premier League,Fulham,24
Elliot Anderson,MF,Premier League,Newcastle Utd,18
Felipe Anderson,FW,Premier League,West Ham,27
Michail Antonio,FW,Premier League,West Ham,30
Alphonse Areola,GK,Premier League,Fulham,28
Stuart Armstrong,MF,Premier League,Southampton,28
Kepa Arrizabalaga,GK,Premier League,Chelsea,26
Pierre-Emerick Aubameyang,FW,Premier League,Arsenal,31
Serge Aurier,DF,Premier League,Tottenham,28
Charlie Austin,FW,Premier League,West Brom,31
Jordan Ayew,FW,Premier League,Crystal Palace,29
Luke Ayling,DF,Premier League,Leeds United,29
César Azpilicueta,DF,Premier League,Chelsea,31
Eric Bailly,DF,Premier League,Manchester Utd,26
Fabián Balbuena,DF,Premier League,West Ham,29
George Baldock,DF,Premier League,Sheffield Utd,27
Gareth Bale,FW,Premier League,Tottenham,31
Patrick Bamford,FW,Premier League,Leeds United,27
Phil Bardsley,DF,Premier League,Burnley,35
Ross Barkley,MF,Premier League,Chelsea,27
Ross Barkley,MF,Premier League,Aston Villa,27
Ashley Barnes,FW,Premier League,Burnley,31
Harvey Barnes,FW,Premier League,Leicester City,23
Kyle Bartley,DF,Premier League,West Brom,29
Chris Basham,DF,Premier League,Sheffield Utd,32
Michy Batshuayi,FW,Premier League,Crystal Palace,27
Jan Bednarek,DF,Premier League,Southampton,24
Donny van de Beek,MF,Premier League,Manchester Utd,23
Héctor Bellerín,DF,Premier League,Arsenal,25
Saïd Benrahma,MF,Premier League,West Ham,25
Josh Benson,MF,Premier League,Burnley,21
Christian Benteke,FW,Premier League,Crystal Palace,30
Jóhann Berg Guðmundsson,MF,Premier League,Burnley,30
Sander Berge,MF,Premier League,Sheffield Utd,23
Steven Bergwijn,FW,Premier League,Tottenham,23
Bernard,FW,Premier League,Everton,28
Bernardo,DF,Premier League,Brighton,25
Ryan Bertrand,DF,Premier League,Southampton,31
Yves Bissouma,MF,Premier League,Brighton,24
Jayden Bogle,DF,Premier League,Sheffield Utd,20
Willy Boly,DF,Premier League,Wolves,30
Jarrod Bowen,FW,Premier League,West Ham,24
Robbie Brady,MF,Premier League,Burnley,29
Rhian Brewster,FW,Premier League,Sheffield Utd,20
Josh Brownhill,MF,Premier League,Burnley,25
Joe Bryan,DF,Premier League,Fulham,27
Kean Bryan,DF,Premier League,Sheffield Utd,24
Oliver Burke,FW,Premier League,Sheffield Utd,23
Dan Burn,DF,Premier League,Brighton,28
David Button,GK,Premier League,West Brom,32
Oskar Buur,DF,Premier League,Wolves,22
Willy Caballero,GK,Premier League,Chelsea,39
Gary Cahill,DF,Premier League,Crystal Palace,35
Tom Cairney,MF,Premier League,Fulham,30
Dominic Calvert-Lewin,FW,Premier League,Everton,23
João Cancelo,DF,Premier League,Manchester City,26
Ian Carlo Poveda,MF,Premier League,Leeds United,21
Andy Carroll,FW,Premier League,Newcastle Utd,32
Matty Cash,DF,Premier League,Aston Villa,23
Kiko Casilla,GK,Premier League,Leeds United,34
Timothy Castagne,DF,Premier League,Leicester City,25
Jonny Castro,DF,Premier League,Wolves,27
Ivan Cavaleiro,FW,Premier League,Fulham,27
Edinson Cavani,FW,Premier League,Manchester Utd,34
Dani Ceballos,MF,Premier League,Arsenal,24
Ben Chilwell,DF,Premier League,Chelsea,24
Hamza Choudhury,MF,Premier League,Leicester City,23
Andreas Christensen,DF,Premier League,Chelsea,24
Ciaran Clark,DF,Premier League,Newcastle Utd,31
Nathaniel Clyne,DF,Premier League,Crystal Palace,29
Conor Coady,DF,Premier League,Wolves,28
Séamus Coleman,DF,Premier League,Everton,32
Aaron Connolly,FW,Premier League,Brighton,21
Liam Cooper,DF,Premier League,Leeds United,29
Jack Cork,MF,Premier League,Burnley,31
Hélder Costa,MF,Premier League,Leeds United,27
Vladimír Coufal,DF,Premier League,West Ham,28
Aaron Cresswell,DF,Premier League,West Ham,31
Patrick Cutrone,FW,Premier League,Wolves,23
Stuart Dallas,DF,Premier League,Leeds United,29
Scott Dann,DF,Premier League,Crystal Palace,34
Karl Darlow,GK,Premier League,Newcastle Utd,30
Ben Davies,DF,Premier League,Tottenham,27
Tom Davies,MF,Premier League,Everton,22
Keinan Davis,FW,Premier League,Aston Villa,23
Leif Davis,DF,Premier League,Leeds United,21
Craig Dawson,DF,Premier League,West Ham,30
Kevin De Bruyne,MF,Premier League,Manchester City,29
Liam Delap,FW,Premier League,Manchester City,18
Fabian Delph,MF,Premier League,Everton,31
Leander Dendoncker,MF,Premier League,Wolves,25
Mbaye Diagne,FW,Premier League,West Brom,29
Ibrahima Diallo,MF,Premier League,Southampton,21
Grady Diangana,MF,Premier League,West Brom,22
Raphael Dias Belloli,MF,Premier League,Leeds United,24
Rúben Dias,DF,Premier League,Manchester City,23
Eric Dier,DF,Premier League,Tottenham,27
Lucas Digne,DF,Premier League,Everton,27
Virgil van Dijk,DF,Premier League,Liverpool,29
Issa Diop,DF,Premier League,West Ham,24
Moussa Djenepo,MF,Premier League,Southampton,22
Matt Doherty,DF,Premier League,Tottenham,29
Gabriel Dos Santos,DF,Premier League,Arsenal,23
Abdoulaye Doucouré,MF,Premier League,Everton,28
Martin Dúbravka,GK,Premier League,Newcastle Utd,32
Paul Dummett,DF,Premier League,Newcastle Utd,29
Lewis Dunk,DF,Premier League,Brighton,29
Jimmy Dunne,DF,Premier League,Burnley,23
Ederson,GK,Premier League,Manchester City,27
Kyle Edwards,MF,Premier League,West Brom,23
John Egan,DF,Premier League,Sheffield Utd,28
Ahmed Elmohamady,DF,Premier League,Aston Villa,33
Mohamed Elneny,MF,Premier League,Arsenal,28
Jonny Evans,DF,Premier League,Leicester City,33
Eberechi Eze,MF,Premier League,Crystal Palace,22
Łukasz Fabiański,GK,Premier League,West Ham,35
Fabinho,DF,Premier League,Liverpool,27
Bruno Fernandes,MF,Premier League,Manchester Utd,26
Federico Fernández,DF,Premier League,Newcastle Utd,32
Fernandinho,MF,Premier League,Manchester City,35
Sam Field,MF,Premier League,West Brom,22
Roberto Firmino,FW,Premier League,Liverpool,29
John Fleck,MF,Premier League,Sheffield Utd,29
Phil Foden,FW,Premier League,Manchester City,20
Wesley Fofana,DF,Premier League,Leicester City,20
Pablo Fornals,FW,Premier League,West Ham,25
Fraser Forster,GK,Premier League,Southampton,32
Timothy Fosu-Mensah,DF,Premier League,Manchester Utd,23
Ryan Fraser,MF,Premier League,Newcastle Utd,27
Fred,MF,Premier League,Manchester Utd,27
Ryan Fredericks,DF,Premier League,West Ham,28
Christian Fuchs,DF,Premier League,Leicester City,34
Darnell Furlong,DF,Premier League,West Brom,25
Conor Gallagher,MF,Premier League,West Brom,21
Eric García,DF,Premier League,Manchester City,20
Dwight Gayle,FW,Premier League,Newcastle Utd,30
David de Gea,GK,Premier League,Manchester Utd,30
Anwar El Ghazi,FW,Premier League,Aston Villa,25
Kieran Gibbs,DF,Premier League,West Brom,31
Morgan Gibbs-White,FW,Premier League,Wolves,21
Billy Gilmour,MF,Premier League,Chelsea,19
Olivier Giroud,FW,Premier League,Chelsea,34
Ben Godfrey,DF,Premier League,Everton,23
André Gomes,MF,Premier League,Everton,27
Joe Gomez,DF,Premier League,Liverpool,23
Anthony Gordon,FW,Premier League,Everton,20
Karlan Grant,FW,Premier League,West Brom,23
Demarai Gray,FW,Premier League,Leicester City,24
Jack Grealish,FW,Premier League,Aston Villa,25
Mason Greenwood,FW,Premier League,Manchester Utd,19
Pascal Groß,MF,Premier League,Brighton,29
Kamil Grosicki,FW,Premier League,West Brom,32
Vicente Guaita,GK,Premier League,Crystal Palace,34
İlkay Gündoğan,MF,Premier League,Manchester City,30
Antwoine Hackford,DF,Premier League,Sheffield Utd,16
Sébastien Haller,FW,Premier League,West Ham,26
Rekeem Harper,MF,Premier League,West Brom,20
Jack Harrison,MF,Premier League,Leeds United,24
Kortney Hause,DF,Premier League,Aston Villa,25
Kai Havertz,MF,Premier League,Chelsea,21
Isaac Hayden,MF,Premier League,Newcastle Utd,25
Michael Hector,DF,Premier League,Fulham,28
Ahmed Hegazi,DF,Premier League,West Brom,30
Dean Henderson,GK,Premier League,Manchester Utd,23
Jordan Henderson,MF,Premier League,Liverpool,30
Jeff Hendrick,MF,Premier League,Newcastle Utd,29
Pablo Hernández,MF,Premier League,Leeds United,35
Son Heung-min,FW,Premier League,Tottenham,28
Ki-Jana Hoever,DF,Premier League,Wolves,19
Rob Holding,DF,Premier League,Arsenal,25
Mason Holgate,DF,Premier League,Everton,24
Conor Hourihane,MF,Premier League,Aston Villa,30
Callum Hudson-Odoi,FW,Premier League,Chelsea,20
Niall Huggins,DF,Premier League,Leeds United,20
Pierre Højbjerg,MF,Premier League,Tottenham,25
Odion Ighalo,FW,Premier League,Manchester Utd,31
Kelechi Iheanacho,FW,Premier League,Leicester City,24
Danny Ings,FW,Premier League,Southampton,28
Branislav Ivanović,DF,Premier League,West Brom,37
Alex Iwobi,FW,Premier League,Everton,24
Phil Jagielka,DF,Premier League,Sheffield Utd,38
Alireza Jahanbakhsh,FW,Premier League,Brighton,27
Daniel James,FW,Premier League,Manchester Utd,23
Reece James,DF,Premier League,Chelsea,21
Alexandre Jankewitz,MF,Premier League,Southampton,19
Gabriel Jesus,FW,Premier League,Manchester City,23
Raúl Jiménez,FW,Premier League,Wolves,29
Joelinton,FW,Premier League,Newcastle Utd,24
Ben Johnson,DF,Premier League,West Ham,21
Sam Johnstone,GK,Premier League,West Brom,27
Curtis Jones,MF,Premier League,Liverpool,20
Jorginho,MF,Premier League,Chelsea,29
Willian José,FW,Premier League,Wolves,29
Diogo Jota,FW,Premier League,Liverpool,24
James Justin,DF,Premier League,Leicester City,23
Ozan Kabak,DF,Premier League,Liverpool,20
Aboubakar Kamara,FW,Premier League,Fulham,25
Harry Kane,FW,Premier League,Tottenham,27
N'Golo Kanté,MF,Premier League,Chelsea,29
Moise Kean,FW,Premier League,Everton,21
Michael Keane,DF,Premier League,Everton,28
Neeskens Kebano,FW,Premier League,Fulham,28
Naby Keïta,MF,Premier League,Liverpool,26
Caoimhín Kelleher,GK,Premier League,Liverpool,22
Jonjoe Kenny,DF,Premier League,Everton,23
Reda Khadra,FW,Premier League,Brighton,19
Max Kilman,DF,Premier League,Wolves,23
Joshua King,FW,Premier League,Everton,29
Mateusz Klich,MF,Premier League,Leeds United,30
Robin Koch,DF,Premier League,Leeds United,24
Sead Kolašinac,DF,Premier League,Arsenal,27
Ezri Konsa,DF,Premier League,Aston Villa,23
Cheikhou Kouyaté,DF,Premier League,Crystal Palace,31
Mateo Kovačić,MF,Premier League,Chelsea,26
Emil Krafth,DF,Premier League,Newcastle Utd,26
Filip Krovinović,MF,Premier League,West Brom,25
Alexandre Lacazette,FW,Premier League,Arsenal,29
Adam Lallana,MF,Premier League,Brighton,32
Érik Lamela,FW,Premier League,Tottenham,28
Tariq Lamptey,DF,Premier League,Brighton,20
Manuel Lanzini,MF,Premier League,West Ham,28
Aymeric Laporte,DF,Premier League,Manchester City,26
Jamaal Lascelles,DF,Premier League,Newcastle Utd,27
Maxime Le Marchand,DF,Premier League,Fulham,31
Mario Lemina,MF,Premier League,Fulham,27
Bernd Leno,GK,Premier League,Arsenal,28
Jamal Lewis,DF,Premier League,Newcastle Utd,23
Victor Lindelöf,DF,Premier League,Manchester Utd,26
Jesse Lingard,FW,Premier League,West Ham,28
Jake Livermore,MF,Premier League,West Brom,31
Diego Llorente,DF,Premier League,Leeds United,27
Hugo Lloris,GK,Premier League,Tottenham,34
Giovani Lo Celso,MF,Premier League,Tottenham,24
Ruben Loftus-Cheek,FW,Premier League,Chelsea,25
Ruben Loftus-Cheek,MF,Premier League,Fulham,25
Kevin Long,DF,Premier League,Burnley,30
Shane Long,FW,Premier League,Southampton,34
Matthew Longstaff,MF,Premier League,Newcastle Utd,20
Sean Longstaff,MF,Premier League,Newcastle Utd,23
Ademola Lookman,FW,Premier League,Fulham,23
Max Lowe,DF,Premier League,Sheffield Utd,23
Matthew Lowton,DF,Premier League,Burnley,31
David Luiz,DF,Premier League,Arsenal,33
Douglas Luiz,MF,Premier League,Aston Villa,22
John Lundstram,MF,Premier League,Sheffield Utd,27
Alexis Mac Allister,MF,Premier League,Brighton,22
James Maddison,MF,Premier League,Leicester City,24
Harry Maguire,DF,Premier League,Manchester Utd,27
Riyad Mahrez,FW,Premier League,Manchester City,30
Ainsley Maitland-Niles,DF,Premier League,Arsenal,23
Ainsley Maitland-Niles,MF,Premier League,West Brom,23
Josh Maja,FW,Premier League,Fulham,22
Sadio Mané,FW,Premier League,Liverpool,28
Javier Manquillo,DF,Premier League,Newcastle Utd,26
Fernando Marçal,DF,Premier League,Wolves,32
Solly March,DF,Premier League,Brighton,26
Pablo Marí,DF,Premier League,Arsenal,27
Anthony Martial,FW,Premier League,Manchester Utd,25
Martinelli,FW,Premier League,Arsenal,19
Emiliano Martínez,GK,Premier League,Aston Villa,28
Arthur Masuaku,DF,Premier League,West Ham,27
Juan Mata,FW,Premier League,Manchester Utd,32
Jean-Philippe Mateta,FW,Premier League,Crystal Palace,23
Nemanja Matić,MF,Premier League,Manchester Utd,32
Joël Matip,DF,Premier League,Liverpool,29
Neal Maupay,FW,Premier League,Brighton,24
James McArthur,MF,Premier League,Crystal Palace,33
Oliver McBurnie,FW,Premier League,Sheffield Utd,24
Alex McCarthy,GK,Premier League,Southampton,31
James McCarthy,MF,Premier League,Crystal Palace,30
John McGinn,MF,Premier League,Aston Villa,26
David McGoldrick,FW,Premier League,Sheffield Utd,33
Dwight McNeil,MF,Premier League,Burnley,21
Scott McTominay,MF,Premier League,Manchester Utd,24
Ben Mee,DF,Premier League,Burnley,31
Benjamin Mendy,DF,Premier League,Manchester City,26
Edouard Mendy,GK,Premier League,Chelsea,29
Nampalys Mendy,MF,Premier League,Leicester City,28
Illan Meslier,GK,Premier League,Leeds United,21
Luka Milivojević,MF,Premier League,Crystal Palace,29
James Milner,MF,Premier League,Liverpool,35
Yerry Mina,DF,Premier League,Everton,26
Takumi Minamino,MF,Premier League,Liverpool,26
Takumi Minamino,MF,Premier League,Southampton,26
Tyrone Mings,DF,Premier League,Aston Villa,27
Tyrick Mitchell,DF,Premier League,Crystal Palace,21
Aleksandar Mitrović,FW,Premier League,Fulham,26
Jakub Moder,MF,Premier League,Brighton,21
Jayson Molumby,MF,Premier League,Brighton,21
Wes Morgan,DF,Premier League,Leicester City,37
Mason Mount,MF,Premier League,Chelsea,22
Lucas Moura,FW,Premier League,Tottenham,28
Lys Mousset,FW,Premier League,Sheffield Utd,25
João Moutinho,MF,Premier League,Wolves,34
Joel Mumbongo,FW,Premier League,Burnley,22
Jacob Murphy,DF,Premier League,Newcastle Utd,26
Shkodran Mustafi,DF,Premier League,Arsenal,28
Marvelous Nakamba,MF,Premier League,Aston Villa,27
Wilfred Ndidi,MF,Premier League,Leicester City,24
Tanguy Ndombele,MF,Premier League,Tottenham,24
Reiss Nelson,FW,Premier League,Arsenal,21
Pedro Neto,FW,Premier League,Wolves,20
Rúben Neves,MF,Premier League,Wolves,23
Eddie Nketiah,FW,Premier League,Arsenal,21
Niels Nkounkou,DF,Premier League,Everton,20
Dan Nlundulu,FW,Premier League,Southampton,22
Mark Noble,MF,Premier League,West Ham,33
Oliver Norwood,MF,Premier League,Sheffield Utd,29
Jack O'Connell,DF,Premier League,Sheffield Utd,26
Dara O'Shea,DF,Premier League,West Brom,21
Michael Obafemi,FW,Premier League,Southampton,20
Denis Odoi,DF,Premier League,Fulham,32
Angelo Ogbonna,DF,Premier League,West Ham,32
Robin Olsen,GK,Premier League,Everton,31
Josh Onomah,MF,Premier League,Fulham,23
Divock Origi,FW,Premier League,Liverpool,25
Ben Osborn,MF,Premier League,Sheffield Utd,26
Owen Otasowie,MF,Premier League,Wolves,19
Alex Oxlade-Chamberlain,MF,Premier League,Liverpool,27
Emerson Palmieri,DF,Premier League,Chelsea,26
Thomas Partey,MF,Premier League,Arsenal,27
Rui Patrício,GK,Premier League,Wolves,33
Bailey Peacock-Farrell,GK,Premier League,Burnley,24
Lee Peltier,DF,Premier League,West Brom,34
Nicolas Pépé,FW,Premier League,Arsenal,25
Matheus Pereira,MF,Premier League,West Brom,24
Ricardo Pereira,DF,Premier League,Leicester City,27
Ayoze Pérez,FW,Premier League,Leicester City,27
Kalvin Phillips,MF,Premier League,Leeds United,25
Matt Phillips,MF,Premier League,West Brom,29
Nathaniel Phillips,DF,Premier League,Liverpool,23
Jordan Pickford,GK,Premier League,Everton,26
Erik Pieters,DF,Premier League,Burnley,32
Daniel Podence,FW,Premier League,Wolves,25
Paul Pogba,MF,Premier League,Manchester Utd,27
Nick Pope,GK,Premier League,Burnley,28
Dennis Praet,MF,Premier League,Leicester City,26
Davy Pröpper,MF,Premier League,Brighton,29
Christian Pulisic,FW,Premier League,Chelsea,22
Aaron Ramsdale,GK,Premier League,Sheffield Utd,22
Jacob Ramsey,MF,Premier League,Aston Villa,19
Kayne Ramsey,DF,Premier League,Southampton,20
Darren Randolph,GK,Premier League,West Ham,33
Marcus Rashford,FW,Premier League,Manchester Utd,23
Tim Ream,DF,Premier League,Fulham,33
Nathan Redmond,MF,Premier League,Southampton,26
Harrison Reed,MF,Premier League,Fulham,26
Sergio Reguilón,DF,Premier League,Tottenham,24
Bobby Reid,FW,Premier League,Fulham,28
Declan Rice,MF,Premier League,West Ham,22
Lewis Richardson,FW,Premier League,Burnley,18
Richarlison,FW,Premier League,Everton,23
Jaïro Riedewald,MF,Premier League,Crystal Palace,24
Matt Ritchie,DF,Premier League,Newcastle Utd,31
Tyler Roberts,MF,Premier League,Leeds United,22
Andrew Robertson,DF,Premier League,Liverpool,26
Antonee Robinson,DF,Premier League,Fulham,23
Callum Robinson,FW,Premier League,West Brom,26
Jack Robinson,DF,Premier League,Sheffield Utd,27
Hal Robson-Kanu,FW,Premier League,West Brom,31
Marek Rodák,GK,Premier League,Fulham,24
Joe Rodon,DF,Premier League,Tottenham,23
Rodri,MF,Premier League,Manchester City,24
Rodrigo,MF,Premier League,Leeds United,29
James Rodríguez,FW,Premier League,Everton,29
Jay Rodriguez,FW,Premier League,Burnley,31
Oriol Romeu,MF,Premier League,Southampton,29
Antonio Rüdiger,DF,Premier League,Chelsea,28
Mathew Ryan,GK,Premier League,Arsenal,28
Mathew Ryan,GK,Premier League,Brighton,28
Allan Saint-Maximin,FW,Premier League,Newcastle Utd,23
Romain Saïss,DF,Premier League,Wolves,30
Bukayo Saka,FW,Premier League,Arsenal,19
Mamadou Sakho,DF,Premier League,Crystal Palace,31
Mohamed Salah,FW,Premier League,Liverpool,28
Mohammed Salisu,DF,Premier League,Southampton,21
Davinson Sánchez,DF,Premier League,Tottenham,24
Robert Sánchez,GK,Premier League,Brighton,23
Morgan Sanson,MF,Premier League,Aston Villa,26
Romaine Sawyers,MF,Premier League,West Brom,29
Dane Scarlett,FW,Premier League,Tottenham,16
Fabian Schär,DF,Premier League,Newcastle Utd,29
Jeffrey Schlupp,MF,Premier League,Crystal Palace,28
Kasper Schmeichel,GK,Premier League,Leicester City,34
Nélson Semedo,DF,Premier League,Wolves,27
Jamie Shackleton,MF,Premier League,Leeds United,21
Xherdan Shaqiri,MF,Premier League,Liverpool,29
Billy Sharp,FW,Premier League,Sheffield Utd,35
Luke Shaw,DF,Premier League,Manchester Utd,25
Jonjo Shelvey,MF,Premier League,Newcastle Utd,29
Shola Shoretire,FW,Premier League,Manchester Utd,17
Gylfi Sigurðsson,MF,Premier League,Everton,31
Bernardo Silva,MF,Premier League,Manchester City,26
Fábio Silva,FW,Premier League,Wolves,18
Thiago Silva,DF,Premier League,Chelsea,36
Moussa Sissoko,MF,Premier League,Tottenham,31
Islam Slimani,FW,Premier League,Leicester City,32
William Smallbone,MF,Premier League,Southampton,21
Emile Smith-Rowe,MF,Premier League,Arsenal,20
Robert Snodgrass,MF,Premier League,West Brom,33
Robert Snodgrass,FW,Premier League,West Ham,33
Cédric Soares,DF,Premier League,Arsenal,29
Tomáš Souček,MF,Premier League,West Ham,26
Çağlar Söyüncü,DF,Premier League,Leicester City,24
Zack Steffen,GK,Premier League,Manchester City,25
Dale Stephens,MF,Premier League,Burnley,31
Jack Stephens,DF,Premier League,Southampton,27
Raheem Sterling,FW,Premier League,Manchester City,26
Enda Stevens,DF,Premier League,Sheffield Utd,30
John Stones,DF,Premier League,Manchester City,26
Pascal Struijk,DF,Premier League,Leeds United,21
Japhet Tanganga,DF,Premier League,Tottenham,21
Matt Targett,DF,Premier League,Aston Villa,25
James Tarkowski,DF,Premier League,Burnley,28
Percy Tau,FW,Premier League,Brighton,26
Charlie Taylor,DF,Premier League,Burnley,27
Neil Taylor,DF,Premier League,Aston Villa,32
Allan Tchaptchet,DF,Premier League,Southampton,19
Nathan Tella,MF,Premier League,Southampton,21
Alex Telles,DF,Premier League,Manchester Utd,28
Kenny Tete,DF,Premier League,Fulham,25
Luke Thomas,DF,Premier League,Leicester City,19
Youri Tielemans,MF,Premier League,Leicester City,23
Kieran Tierney,DF,Premier League,Arsenal,23
James Tomkins,DF,Premier League,Crystal Palace,31
Fikayo Tomori,DF,Premier League,Chelsea,23
Ferrán Torres,FW,Premier League,Manchester City,21
Cenk Tosun,FW,Premier League,Everton,29
Andros Townsend,MF,Premier League,Crystal Palace,29
Conor Townsend,DF,Premier League,West Brom,27
Adama Traoré,FW,Premier League,Wolves,25
Bertrand Traoré,FW,Premier League,Aston Villa,25
Trézéguet,FW,Premier League,Aston Villa,26
Leandro Trossard,FW,Premier League,Brighton,26
Kostas Tsimikas,DF,Premier League,Liverpool,24
Axel Tuanzebe,DF,Premier League,Manchester Utd,23
Cengiz Ünder,MF,Premier League,Leicester City,23
Yan Valery,DF,Premier League,Southampton,22
Jamie Vardy,FW,Premier League,Leicester City,34
Joël Veltman,DF,Premier League,Brighton,29
Jannik Vestergaard,DF,Premier League,Southampton,28
Rúben Vinagre,DF,Premier League,Wolves,21
Carlos Vinícius,FW,Premier League,Tottenham,25
Vitinha,MF,Premier League,Wolves,21
Jake Vokins,DF,Premier League,Southampton,20
Matěj Vydra,FW,Premier League,Burnley,28
Theo Walcott,FW,Premier League,Everton,31
Theo Walcott,MF,Premier League,Southampton,31
Kyle Walker,DF,Premier League,Manchester City,30
Kyle Walker-Peters,DF,Premier League,Southampton,23
Aaron Wan-Bissaka,DF,Premier League,Manchester Utd,23
Joel Ward,DF,Premier League,Crystal Palace,31
James Ward-Prowse,MF,Premier League,Southampton,26
Ollie Watkins,FW,Premier League,Aston Villa,25
Caleb Watts,MF,Premier League,Southampton,19
Adam Webster,DF,Premier League,Brighton,26
Danny Welbeck,FW,Premier League,Brighton,30
Timo Werner,FW,Premier League,Chelsea,24
Ashley Westwood,MF,Premier League,Burnley,30
Ben White,DF,Premier League,Brighton,23
Georginio Wijnaldum,MF,Premier League,Liverpool,30
Brandon Williams,DF,Premier League,Manchester Utd,20
Neco Williams,DF,Premier League,Liverpool,19
Rhys Williams,DF,Premier League,Liverpool,20
Willian,FW,Premier League,Arsenal,32
Joe Willock,MF,Premier League,Arsenal,21
Joe Willock,MF,Premier League,Newcastle Utd,21
Callum Wilson,FW,Premier League,Newcastle Utd,29
Harry Winks,MF,Premier League,Tottenham,25
Chris Wood,FW,Premier League,Burnley,29
Granit Xhaka,MF,Premier League,Arsenal,28
Andriy Yarmolenko,FW,Premier League,West Ham,31
DeAndre Yedlin,DF,Premier League,Newcastle Utd,27
Okay Yokuşlu,MF,Premier League,West Brom,26
Wilfried Zaha,FW,Premier League,Crystal Palace,28
Andre-Frank Zambo Anguissa,MF,Premier League,Fulham,25
Andi Zeqiri,FW,Premier League,Brighton,21
Oleksandr Zinchenko,DF,Premier League,Manchester City,24
Hakim Ziyech,FW,Premier League,Chelsea,27
Kurt Zouma,DF,Premier League,Chelsea,26
Martin Ødegaard,MF,Premier League,Arsenal,22
Issah Abbas,DF,Bundesliga,Mainz 05,22
David Abraham,DF,Bundesliga,Eint Frankfurt,34
Amir Abrashi,MF,Bundesliga,Freiburg,30
Ragnar Ache,FW,Bundesliga,Eint Frankfurt,22
Tyler Adams,MF,Bundesliga,RB Leipzig,22
Sargis Adamyan,FW,Bundesliga,Hoffenheim,27
Felix Agu,DF,Bundesliga,Werder Bremen,21
Naouirou Ahamada,MF,Bundesliga,Stuttgart,18
Manuel Akanji,DF,Bundesliga,Dortmund,25
Kevin Akpoguma,DF,Bundesliga,Hoffenheim,25
David Alaba,DF,Bundesliga,Bayern Munich,28
Lucas Alario,FW,Bundesliga,Leverkusen,28
Omar Alderete,DF,Bundesliga,Hertha BSC,24
Nadiem Amiri,MF,Bundesliga,Leverkusen,24
Sebastian Andersson,FW,Bundesliga,Köln,29
Robert Andrich,MF,Bundesliga,Union Berlin,26
Angeliño,DF,Bundesliga,RB Leipzig,24
Waldemar Anton,DF,Bundesliga,Stuttgart,24
Charles Aránguiz,MF,Bundesliga,Leverkusen,31
Santiago Arias,DF,Bundesliga,Leverkusen,29
Maximilian Arnold,MF,Bundesliga,Wolfsburg,26
Toluwalas Arokodare,FW,Bundesliga,Köln,20
Santiago Ascacíbar,MF,Bundesliga,Hertha BSC,24
Ludwig Augustinsson,DF,Bundesliga,Werder Bremen,26
Taiwo Awoniyi,FW,Bundesliga,Union Berlin,23
Leon Bailey,FW,Bundesliga,Leverkusen,23
Ridle Baku,DF,Bundesliga,Wolfsburg,22
Ridle Baku,DF,Bundesliga,Mainz 05,22
Aymen Barkok,FW,Bundesliga,Eint Frankfurt,22
Leandro Barreiro Martins,MF,Bundesliga,Mainz 05,21
Jacob Barrett Laursen,DF,Bundesliga,Arminia,26
Oliver Baumann,GK,Bundesliga,Hoffenheim,30
Julian Baumgartlinger,MF,Bundesliga,Leverkusen,33
Christoph Baumgartner,MF,Bundesliga,Hoffenheim,21
Noah Joel Sarenren Bazee,FW,Bundesliga,Augsburg,24
Ihlas Bebou,FW,Bundesliga,Hoffenheim,26
Sheraldo Becker,FW,Bundesliga,Union Berlin,26
Timo Becker,DF,Bundesliga,Schalke 04,23
Brian Behrendt,DF,Bundesliga,Arminia,29
Maximilian Beier,FW,Bundesliga,Hoffenheim,18
Ishak Belfodil,FW,Bundesliga,Hoffenheim,29
Stefan Bell,DF,Bundesliga,Mainz 05,29
Karim Bellarabi,MF,Bundesliga,Leverkusen,30
Jude Bellingham,MF,Bundesliga,Dortmund,17
Lars Bender,DF,Bundesliga,Leverkusen,31
Sven Bender,DF,Bundesliga,Leverkusen,31
László Bénes,MF,Bundesliga,M'Gladbach,23
László Bénes,MF,Bundesliga,Augsburg,23
