team,year,country,pts,value
Hertha BSC,18/19,Bundesliga,43,119.25
1. FSV Mainz 05,18/19,Bundesliga,43,84.48
SC Freiburg,18/19,Bundesliga,36,83.13
FC Schalke 04,18/19,Bundesliga,33,245.7
FC Augsburg,18/19,Bundesliga,32,96.35
VfB Stuttgart,18/19,Bundesliga,28,154.35
Hannover 96,18/19,Bundesliga,21,80.7
1. FC Nürnberg,18/19,Bundesliga,19,28.9
Bayern Munchen,17/18,Bundesliga,84,603.4
FC Schalke 04,17/18,Bundesliga,63,185.55
1899 Hoffenheim,17/18,Bundesliga,55,120.13
Borussia Dortmund,17/18,Bundesliga,55,406.48
Bayer Leverkusen,17/18,Bundesliga,55,211.3
RasenBallsport Leipzig,17/18,Bundesliga,53,181.08
VfB Stuttgart,17/18,Bundesliga,51,58.65
Eintracht Frankfurt,17/18,Bundesliga,49,73.6
Bor. Monchengladbach,17/18,Bundesliga,47,152.45
Hertha BSC,17/18,Bundesliga,43,90.45
Werder Bremen,17/18,Bundesliga,42,68.5
FC Augsburg,17/18,Bundesliga,41,62.13
Hannover 96,17/18,Bundesliga,39,40.6
1. FSV Mainz 05,17/18,Bundesliga,36,72.65
SC Freiburg,17/18,Bundesliga,36,65.23
VfL Wolfsburg,17/18,Bundesliga,33,134.85
Hamburger SV,17/18,Bundesliga,31,71.75
1. FC Köln,17/18,Bundesliga,22,106.15
Manchester City,17/18,Premier League,100,616.35
Manchester United,17/18,Premier League,81,645.1
Tottenham Hotspur,17/18,Premier League,77,535.35
Liverpool FC,17/18,Premier League,75,495
Chelsea FC,17/18,Premier League,70,649.65
Arsenal FC,17/18,Premier League,63,633.9
Burnley FC,17/18,Premier League,54,96.85
Everton FC,17/18,Premier League,49,346.75
Leicester City,17/18,Premier League,47,252.1
Newcastle United,17/18,Premier League,44,167.28
Crystal Palace,17/18,Premier League,44,194.43
AFC Bournemouth,17/18,Premier League,44,116.1
West Ham United,17/18,Premier League,42,264.85
Watford FC,17/18,Premier League,41,167.3
Brighton & Hove Albion,17/18,Premier League,40,106.75
Huddersfield Town,17/18,Premier League,37,64.4
Southampton FC,17/18,Premier League,36,247.5
Swansea City,17/18,Premier League,33,171.34
Stoke City,17/18,Premier League,33,177.8
West Bromwich Albion,17/18,Premier League,31,165.5
FC Barcelona,17/18,La Liga,93,772.5
Atlético Madrid,17/18,La Liga,79,585
Real Madrid,17/18,La Liga,76,716.2
Valencia CF,17/18,La Liga,73,230.9
Villarreal CF,17/18,La Liga,61,196.7
Real Betis,17/18,La Liga,60,96.55
Sevilla FC,17/18,La Liga,58,269.45
Getafe CF,17/18,La Liga,55,48.75
SD Eibar,17/18,La Liga,51,71.75
Girona FC,17/18,La Liga,51,35.6
RCD Espanyol,17/18,La Liga,49,85.45
Real Sociedad,17/18,La Liga,49,165.1
Celta de Vigo,17/18,La Liga,49,114.65
Deportivo Alavés,17/18,La Liga,47,64.85
Levante UD,17/18,La Liga,46,59.35
Athletic Bilbao,17/18,La Liga,43,188.5
CD Leganés,17/18,La Liga,43,53.63
Deportivo de La Coruña,17/18,La Liga,29,89.4
UD Las Palmas,17/18,La Liga,22,123
Málaga CF,17/18,La Liga,20,88.43
Bayern Munchen,16/17,Bundesliga,82,582.15
RasenBallsport Leipzig,16/17,Bundesliga,67,62.38
Borussia Dortmund,16/17,Bundesliga,64,339.4
1899 Hoffenheim,16/17,Bundesliga,62,90.18
1. FC Köln,16/17,Bundesliga,49,73.85
Hertha BSC,16/17,Bundesliga,49,76.48
SC Freiburg,16/17,Bundesliga,48,44.6
Werder Bremen,16/17,Bundesliga,45,63.6
Bor. Monchengladbach,16/17,Bundesliga,45,165.6
FC Schalke 04,16/17,Bundesliga,43,173.4
Eintracht Frankfurt,16/17,Bundesliga,42,60.25
Bayer Leverkusen,16/17,Bundesliga,41,250.8
FC Augsburg,16/17,Bundesliga,38,58.5
Hamburger SV,16/17,Bundesliga,38,75.4
1. FSV Mainz 05,16/17,Bundesliga,37,77.45
VfL Wolfsburg,16/17,Bundesliga,37,180.15
FC Ingolstadt 04,16/17,Bundesliga,32,37
SV Darmstadt 98,16/17,Bundesliga,25,21.75
Chelsea FC,16/17,Premier League,93,603.3
Tottenham Hotspur,16/17,Premier League,86,385.5
Manchester City,16/17,Premier League,78,621.4
Liverpool FC,16/17,Premier League,76,394.15
Arsenal FC,16/17,Premier League,75,522.75
Manchester United,16/17,Premier League,69,533.25
Everton FC,16/17,Premier League,61,284.35
Southampton FC,16/17,Premier League,46,214.25
AFC Bournemouth,16/17,Premier League,46,103.5
West Bromwich Albion,16/17,Premier League,45,115.1
West Ham United,16/17,Premier League,45,240.78
Leicester City,16/17,Premier League,44,175
Stoke City,16/17,Premier League,44,193.25
